job title,hiring organization,department,seniority level,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,description,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
CMO,,Strategy,Junior,08/07/2024,25/09/2024,2024-09-25,Santé,Constantine,Bac,12,Temporaire,10,"Contrat: Temporaire. Localisation: Constantine. Département: Finance. Expérience requise: 10-13 ans. Éducation: Bac, 12 ans. As Junior CMO, you'll perform key projects.",,26985,"Teamwork, Problem Solving, Adaptability, Time Management, Communication, Critical Thinking",10,13
Software Engineer,,Public Relations,Junior,"Feb 01, 2025",16 March 2025,2025-03-16,Ingénierie,Béjaïa,Doctorat,20,Freelance,5,"Profil recherché (FR):
Responsabilités: Compliance; Java; Network Security; Cloud; Teamwork
Profil: Coordination, SEO
Compétences: Teamwork, SEO, Python, Budgeting
Avantages: Network Security; Graphic Design; Negotiation
","Formation continue, Prime performance, Télétravail partiel",100837,"Machine Learning, Python, C++, Network Security, Cloud Computing",7,7
AI Ethics Consultant,,Compliance,Mid,2025-01-06,06/04/2025,2025-04-06,Ventes,Oran,Master,18,CDI,10,"Profil recherché (EN):
Responsabilités: Coordination, Compliance, Research
Profil: Communication, Data Analysis
Compétences:
- Cloud
- Customer Service
- Technical Writing
- UX/UI
Avantages: Cloud; Excel; Research; Compliance
",Formation continue,28776,"Teamwork, Communication, Critical Thinking, Adaptability, Time Management, Problem Solving",9,11
App Developer,,Public Relations,Mid,2025-02-14,2025-03-07,2025-03-07,Santé,Ghardaïa,Master,18,Volontariat,10,"Profil recherché (EN):
Responsabilités: Cloud; Blockchain; Excel
Profil:
- Network Security
- Communication
Compétences: Customer Service; Technical Writing; Excel; CAD; Data Analysis
Avantages: Organization; Python; Excel; Graphic Design; CAD
","Participation bénéfices, Horaires flexibles",61836,"SQL, Cloud Computing, Machine Learning, DevOps, Java",2,8
Operations Manager,,Technical Support,Chief,"Jun 14, 2024",27/07/2024,2024-07-27,RH,Télétravail,Licence,16,CDD,3,"Profil recherché (EN):
Responsabilités: Communication; Cloud; Compliance
Profil:
- Maintenance
- Digital Marketing
- Graphic Design
- Blockchain
- Cloud
Compétences: Machine Learning, SEO, Digital Marketing, Maintenance, Organization
Avantages: Customer Service; Maintenance; Budgeting; Strategic Planning
","Voiture de fonction, Télétravail partiel, Ticket Restaurant",41896,"Logistics, Quality Control, Supply Chain Management, Process Optimization, Lean Management, Inventory Control",9,14
Exec. Assistant,,Research & Development,Mid,19 July 2024,22 August 2024,2024-08-22,Ventes,Alger,Master,18,Freelance,1,"Contrat: Freelance. Localisation: Alger. Département: Legal. Expérience requise: 4-4 ans. Éducation: Master, 18 ans. As Mid Exec. Assistant, you'll manage key projects.",Horaires flexibles,29597,"Data Entry, Customer Service, Document Control, Office Management, Scheduling",4,4
Logistics Coord.,,Compliance,Junior,25/08/2024,2024-09-08,2024-09-08,Ingénierie,Télétravail,Bac,12,CDI,3,"Profil recherché (EN):
Responsabilités:
- Project Mgmt
- SEO
- Python
- Logistics
- UX/UI
Profil:
- Blockchain
- CAD
- Excel
- SEO
- Digital Marketing
Compétences:
- Compliance
- Teamwork
- Budgeting
- CAD
Avantages:
- Customer Service
- Blockchain
","Horaires flexibles, Formation continue",49961,"Supply Chain Management, Logistics, Inventory Control, Lean Management, Process Optimization, Quality Control",8,11
Social Media Mgr,,Risk Management,Lead,07 August 2024,14/08/2024,2024-08-14,Ingénierie,Sétif,Licence,16,Freelance,2,"Profil recherché (EN):
Responsabilités: SQL, Leadership
Profil:
- Negotiation
- CAD
Compétences:
- Machine Learning
- Data Analysis
- CAD
- Negotiation
- Python
Avantages:
- Customer Service
- CAD
- Logistics
- Research
- Communication
",Prime performance,58153,"Content Strategy, Google Analytics, Public Relations, Email Marketing, SEO, Brand Management",6,14
PR Officer,,Administration,Chief,"Nov 28, 2024",21/01/2025,2025-01-21,Santé,El Oued,Bac,12,Temps partiel,5,"Profil recherché (MIX):
Responsabilités: SEO, Research, Excel, Project Mgmt
Profil: Maintenance; SQL
Compétences: Cloud, Customer Service, Coordination
Avantages: Excel; CAD; SQL; UX/UI
",Participation bénéfices,42450,"Adaptability, Problem Solving, Time Management, Teamwork, Communication",7,13
Civil Engineer,,Strategy,Senior,2025-01-20,08/03/2025,2025-03-08,Juridique,Béjaïa,Bac,12,Freelance,5,"En tant que Senior Civil Engineer, vous serez amené à superviser les processus. Contrat: Freelance. Localisation: Béjaïa. Département: Sales. As Senior Civil Engineer, you'll lead critical projects.",Horaires flexibles,52898,"Kubernetes, Python, C++, Docker, DevOps, Java",8,11
Graphic Designer,,Compliance,Junior,2024-10-02,2024-11-26,2024-11-26,Finance,El Oued,Doctorat,20,Freelance,10,"Expérience requise: 0-5 ans. Éducation: Doctorat, 20 ans. En tant que Junior Graphic Designer, vous serez amené à gérer les relations clients. Contrat: Freelance. Localisation: El Oued. Département: IT.","Prime performance, Voiture de fonction",42712,"UX Research, Sketch, Adobe Photoshop, Figma",0,5
Video Editor,,Business Development,Lead,18 March 2025,21/05/2025,2025-05-21,Admin,Hybride,Bac,12,Temps plein,3,"En tant que Lead Video Editor, vous serez amené à développer les systèmes. As Lead Video Editor, you'll manage innovative projects. Contrat: Temps plein. Localisation: Hybride. Département: HR.",,97726,"SQL, Network Security, Java, Python, DevOps, Docker",6,10
Restaurant Manager,,Strategy,Mid,"Sep 24, 2024",2024-10-01,2024-10-01,Ventes,Béjaïa,Master,18,Freelance,5,"Contrat: Freelance. Localisation: Béjaïa. Département: Legal. As Mid Restaurant Manager, you'll design critical projects. En tant que Mid Restaurant Manager, vous serez amené à superviser l’équipe.",,66912,"Supply Chain Management, Process Optimization, Quality Control, Logistics, Lean Management",1,6
Network Admin,,Procurement,Junior,2024-08-21,2024-09-26,2024-09-26,RH,Blida,Doctorat,20,Stage,1,"Expérience requise: 6-10 ans. Éducation: Doctorat, 20 ans. Contrat: Stage. Localisation: Blida. Département: Finance. En tant que Junior Network Admin, vous serez amené à gérer les processus.",Télétravail partiel,59400,"Cloud Computing, SQL, DevOps, Docker, Machine Learning",6,10
AI Ethics Consultant,,IT Support,Lead,"Dec 08, 2024",18/02/2025,2025-02-18,Ventes,Sétif,Licence,16,Temporaire,3,"Profil recherché (FR):
Responsabilités: SEO, CAD, Technical Writing, Compliance, Data Analysis
Profil:
- Network Security
- Cloud
- Negotiation
- Compliance
- Graphic Design
Compétences: Research, CAD
Avantages: SQL; SEO; Cloud
",,26748,"Adaptability, Teamwork, Problem Solving, Time Management",8,9
Digital Marketer,,Design,Chief,2024-11-05,2024-12-26,2024-12-26,Marketing,Alger,Doctorat,20,Temps partiel,10,"As Chief Digital Marketer, you'll lead strategic projects. Expérience requise: 4-13 ans. Éducation: Doctorat, 20 ans. Contrat: Temps partiel. Localisation: Alger. Département: Marketing.",,91491,"Machine Learning, DevOps, Cloud Computing, Java, Python, Docker, Network Security",4,13
Data Scientist,,Customer Success,Chief,20/05/2024,2024-08-07,2024-08-07,RH,Blida,Doctorat,20,Volontariat,2,"Profil recherché (EN):
Responsabilités:
- Budgeting
- Blockchain
- Coordination
- Graphic Design
- Data Analysis
Profil: Java; Machine Learning; Blockchain
Compétences: Research; Network Security; SQL; Blockchain
Avantages:
- Blockchain
- Communication
- Strategic Planning
",,95621,"Kubernetes, Java, Machine Learning, Network Security, DevOps, Docker, Cloud Computing",9,12
Data Engineer,,Compliance,Senior,02 May 2024,26 July 2024,2024-07-26,Admin,Annaba,None,0,Freelance,2,"Contrat: Freelance. Localisation: Annaba. Département: Engineering. As Senior Data Engineer, you'll manage key projects. Expérience requise: 5-10 ans. Éducation: None, 0 ans.","Formation continue, Horaires flexibles, Ticket Restaurant",73461,"DevOps, Python, Network Security, Kubernetes, C++, Docker, Java",5,10
Data Scientist,,Logistics,Senior,"Jun 18, 2024",2024-07-24,2024-07-24,Logistique,Ghardaïa,Doctorat,20,CDI,1,"Contrat: CDI. Localisation: Ghardaïa. Département: Finance. En tant que Senior Data Scientist, vous serez amené à coordonner les processus. Expérience requise: 2-4 ans. Éducation: Doctorat, 20 ans.",,119128,"SQL, Docker, Python, Cloud Computing, C++",2,4
Bioengineer,,Customer Success,Junior,20/09/2024,22/11/2024,2024-11-22,Finance,Tizi Ouzou,Doctorat,20,Stage,3,"Profil recherché (MIX):
Responsabilités:
- Blockchain
- Maintenance
- SEO
- Technical Writing
- Teamwork
Profil: Logistics, Maintenance, Excel, CAD
Compétences: Project Mgmt, Excel, Coordination
Avantages:
- Teamwork
- Machine Learning
",,75421,"Machine Learning, DevOps, Python, Java, Kubernetes",6,11
Content Writer,,Health & Safety,Senior,2025-01-11,31/03/2025,2025-03-31,Santé,Sétif,None,0,Freelance,3,"Contrat: Freelance. Localisation: Sétif. Département: Finance. As Senior Content Writer, you'll perform critical projects. Expérience requise: 8-14 ans. Éducation: None, 0 ans.","Participation bénéfices, Voiture de fonction, Ticket Restaurant",70264,"Machine Learning, Cloud Computing, C++, Kubernetes, SQL, Network Security, Docker",8,14
HR Coordinator,,Logistics,Chief,22 October 2024,03 December 2024,2024-12-03,Ventes,Oran,Doctorat,20,Volontariat,10,"Profil recherché (MIX):
Responsabilités: UX/UI, Research
Profil:
- Teamwork
- Project Mgmt
- Organization
- Strategic Planning
Compétences:
- Python
- Digital Marketing
- Machine Learning
- Project Mgmt
- Organization
Avantages:
- Graphic Design
- Project Mgmt
- Teamwork
- Python
- Negotiation
","Télétravail partiel, Formation continue",48413,"Recruitment, Payroll, HRIS, Performance Management",9,18
Logistics Coord.,,Risk Management,Senior,19/09/2024,2024-09-30,2024-09-30,Juridique,Alger,Doctorat,20,Temps partiel,10,"As Senior Logistics Coord., you'll design innovative projects. Contrat: Temps partiel. Localisation: Alger. Département: Marketing. En tant que Senior Logistics Coord., vous serez amené à superviser l’équipe.","Participation bénéfices, Assurance santé, Formation continue",48601,"Quality Control, Lean Management, Logistics, Supply Chain Management",5,8
Bioengineer,,Health & Safety,Junior,09 January 2025,23 February 2025,2025-02-23,Santé,Hybride,Bac,12,CDI,2,"As Junior Bioengineer, you'll lead strategic projects. En tant que Junior Bioengineer, vous serez amené à superviser les systèmes. Expérience requise: 0-3 ans. Éducation: Bac, 12 ans.",Horaires flexibles,111208,"Kubernetes, Machine Learning, Cloud Computing, SQL",0,3
Operations Manager,,Training,Lead,08/01/2025,26/01/2025,2025-01-26,Ingénierie,Télétravail,Doctorat,20,Alternance,10,"Profil recherché (EN):
Responsabilités: Technical Writing; Graphic Design; SEO; Blockchain
Profil: Teamwork, Organization, Digital Marketing
Compétences:
- Research
- Graphic Design
Avantages: Project Mgmt, Maintenance, Negotiation
",Ticket Restaurant,37399,"Inventory Control, Quality Control, Supply Chain Management, Lean Management, Process Optimization, Logistics",2,8
QA Engineer,,Administration,Mid,13 April 2025,26 June 2025,2025-06-26,Ventes,Saïda,None,0,Temps plein,10,"En tant que Mid QA Engineer, vous serez amené à coordonner les processus. As Mid QA Engineer, you'll manage strategic projects. Expérience requise: 10-10 ans. Éducation: None, 0 ans.",Participation bénéfices,88547,"Python, Machine Learning, C++, SQL",10,10
Researcher,,Administration,Mid,"May 27, 2024",13/08/2024,2024-08-13,Finance,Sétif,Licence,16,Temps plein,5,"Contrat: Temps plein. Localisation: Sétif. Département: HR. En tant que Mid Researcher, vous serez amené à développer l’équipe. Expérience requise: 4-12 ans. Éducation: Licence, 16 ans.","Participation bénéfices, Prime performance, Assurance santé",50648,"Patient Care, HIPAA Compliance, Medical Terminology, Clinical Trials",4,12
Network Admin,,Logistics,Senior,14/09/2024,25 November 2024,2024-11-25,Informatique,Tizi Ouzou,Doctorat,20,Temporaire,3,"As Senior Network Admin, you'll design key projects. En tant que Senior Network Admin, vous serez amené à coordonner les systèmes. Expérience requise: 5-15 ans. Éducation: Doctorat, 20 ans.",,114190,"Cloud Computing, Python, SQL, Machine Learning",5,15
Env. Consultant,,Compliance,Junior,12 September 2024,07 October 2024,2024-10-07,Finance,Oran,Master,18,Stage,5,"Profil recherché (MIX):
Responsabilités: UX/UI, Excel, CAD
Profil:
- Blockchain
- Organization
- Maintenance
- Network Security
- Data Analysis
Compétences: Leadership, Excel, Digital Marketing
Avantages: Java; Project Mgmt; Negotiation; Cloud; SQL
",,40693,"Teamwork, Problem Solving, Communication, Time Management, Adaptability",4,11
Bioengineer,,Health & Safety,Mid,17 August 2024,19 October 2024,2024-10-19,Logistique,Annaba,Licence,16,CDD,1,"Contrat: CDD. Localisation: Annaba. Département: Marketing. Expérience requise: 10-20 ans. Éducation: Licence, 16 ans. As Mid Bioengineer, you'll manage key projects.",,83526,"Java, C++, SQL, Network Security, Cloud Computing, DevOps",10,20
Med. Rep,,Administration,Junior,08 June 2024,12 August 2024,2024-08-12,Juridique,Constantine,Licence,16,Temporaire,5,"Expérience requise: 3-3 ans. Éducation: Licence, 16 ans. En tant que Junior Med. Rep, vous serez amené à coordonner les processus. As Junior Med. Rep, you'll lead strategic projects.",Voiture de fonction,36083,"Problem Solving, Time Management, Adaptability, Teamwork, Critical Thinking, Communication",3,3
Pharmacist,,Public Relations,Chief,"Jun 12, 2024",15 July 2024,2024-07-15,Admin,Béjaïa,Licence,16,CDD,1,"Profil recherché (MIX):
Responsabilités: Teamwork; Coordination; Budgeting; Organization
Profil: Blockchain, Maintenance, UX/UI
Compétences:
- Data Analysis
- Digital Marketing
Avantages:
- Maintenance
- Python
- Technical Writing
- Compliance
- Customer Service
",,41424,"Patient Care, Medical Terminology, Pharmacovigilance, HIPAA Compliance, Clinical Trials",9,19
Software Engineer,,Administration,Chief,"Dec 19, 2024",2025-03-16,2025-03-16,Informatique,Tlemcen,Bac,12,Stage,10,"Profil recherché (MIX):
Responsabilités: Maintenance; Cloud; Teamwork; Research; Compliance
Profil: CAD, Strategic Planning, Negotiation, Logistics, UX/UI
Compétences: Strategic Planning, Data Analysis, Logistics, CAD, Budgeting
Avantages:
- Excel
- Blockchain
","Ticket Restaurant, Prime performance",62744,"Cloud Computing, C++, DevOps, Docker",5,9
Data Engineer,,Product,Junior,"Dec 19, 2024",2025-02-10,2025-02-10,Santé,Constantine,Bac,12,Stage,2,"Profil recherché (MIX):
Responsabilités: Logistics, Coordination
Profil:
- SEO
- Network Security
- Communication
- SQL
Compétences:
- Digital Marketing
- Organization
- Data Analysis
Avantages:
- Java
- Digital Marketing
- Compliance
- Logistics
- SEO
",Ticket Restaurant,97911,"Cloud Computing, Docker, Machine Learning, Java, Python, C++",3,5
Volunteer Coord.,,Corporate Affairs,Junior,"Nov 05, 2024",27 November 2024,2024-11-27,Juridique,El Oued,Doctorat,20,Temps plein,10,"Profil recherché (MIX):
Responsabilités: Strategic Planning, Machine Learning, Customer Service, Coordination
Profil: Maintenance, Communication, Project Mgmt
Compétences: Teamwork; SQL
Avantages: Maintenance; Network Security; Budgeting
",,38238,"Communication, Problem Solving, Adaptability, Critical Thinking, Time Management",10,20
Med. Rep,,Customer Success,Mid,"May 26, 2024",2024-08-13,2024-08-13,RH,Constantine,None,0,CDD,2,"Profil recherché (EN):
Responsabilités: Research, Strategic Planning, Negotiation, Machine Learning
Profil: Coordination, SQL, Blockchain, Maintenance, Technical Writing
Compétences:
- Data Analysis
- Customer Service
- Research
Avantages: Python, Blockchain
","Prime performance, Formation continue, Participation bénéfices",56543,"Problem Solving, Time Management, Communication, Adaptability",10,10
Security Officer,,Training,Lead,2024-12-13,31/01/2025,2025-01-31,Logistique,Hybride,None,0,Alternance,1,"Profil recherché (MIX):
Responsabilités:
- Machine Learning
- Java
- UX/UI
- SQL
- Maintenance
Profil:
- Leadership
- Excel
Compétences: Project Mgmt, Excel, Research, Maintenance
Avantages: Machine Learning, UX/UI, Graphic Design
",Ticket Restaurant,65861,"Python, C++, Cloud Computing, Kubernetes, SQL",7,8
Social Media Mgr,,Quality Assurance,Mid,"Aug 02, 2024",17 September 2024,2024-09-17,Logistique,Télétravail,Master,18,CDI,2,"Profil recherché (MIX):
Responsabilités:
- Research
- Machine Learning
- Network Security
Profil: Project Mgmt, SEO, Java, Excel, Research
Compétences:
- CAD
- Organization
- Leadership
- Research
Avantages: SQL, Cloud, Compliance
",,68433,"Public Relations, Content Strategy, SEO, Campaign Planning, Email Marketing, Social Media, Google Analytics",1,9
Video Editor,,Administration,Chief,08/09/2024,02 November 2024,2024-11-02,Admin,Saïda,Master,18,Alternance,1,"En tant que Chief Video Editor, vous serez amené à gérer les systèmes. As Chief Video Editor, you'll lead strategic projects. Contrat: Alternance. Localisation: Saïda. Département: Sales.","Horaires flexibles, Voiture de fonction",73957,"SQL, Machine Learning, Kubernetes, Java, Cloud Computing, DevOps",5,13
SEO Specialist,,Corporate Affairs,Lead,"Apr 20, 2025",09 May 2025,2025-05-09,Marketing,Béjaïa,Master,18,CDD,3,"As Lead SEO Specialist, you'll design innovative projects. Contrat: CDD. Localisation: Béjaïa. Département: Finance. En tant que Lead SEO Specialist, vous serez amené à développer les processus.",Télétravail partiel,74383,"Email Marketing, Google Analytics, Brand Management, Public Relations, Content Strategy, SEO",5,15
Digital Marketer,,Logistics,Lead,18 October 2024,01 December 2024,2024-12-01,Marketing,Constantine,None,0,Temps plein,10,"As Lead Digital Marketer, you'll perform strategic projects. Contrat: Temps plein. Localisation: Constantine. Département: Operations. En tant que Lead Digital Marketer, vous serez amené à superviser les systèmes.","Ticket Restaurant, Participation bénéfices",104686,"Docker, DevOps, SQL, Java, C++, Cloud Computing",4,5
Pharmacist,,Risk Management,Senior,26/12/2024,09/01/2025,2025-01-09,Finance,Télétravail,Licence,16,CDD,5,"En tant que Senior Pharmacist, vous serez amené à coordonner les systèmes. Contrat: CDD. Localisation: Télétravail. Département: IT. Expérience requise: 3-8 ans. Éducation: Licence, 16 ans.",,39908,"Pharmacovigilance, Patient Care, Clinical Trials, Medical Terminology, HIPAA Compliance",3,8
Maintenance Tech,,IT Support,Chief,"Jan 25, 2025",21 April 2025,2025-04-21,Informatique,El Oued,Bac,12,Temps plein,5,"Contrat: Temps plein. Localisation: El Oued. Département: Sales. As Chief Maintenance Tech, you'll perform innovative projects. Expérience requise: 3-13 ans. Éducation: Bac, 12 ans.","Horaires flexibles, Formation continue, Assurance santé",53668,"Time Management, Teamwork, Critical Thinking, Communication, Problem Solving, Adaptability",3,13
HR Coordinator,,Logistics,Senior,"Sep 13, 2024",18 November 2024,2024-11-18,Ventes,Sétif,Licence,16,Temps partiel,10,"Profil recherché (FR):
Responsabilités: Communication, Project Mgmt, Network Security
Profil: Technical Writing; Python; Blockchain; Maintenance; Budgeting
Compétences:
- Maintenance
- Logistics
- Java
- Network Security
Avantages:
- Network Security
- Customer Service
- Graphic Design
",,43292,"Performance Management, Onboarding, Payroll, Recruitment",3,11
Risk Manager,,IT Support,Senior,02/06/2024,16 July 2024,2024-07-16,Admin,El Oued,Doctorat,20,Alternance,3,"Contrat: Alternance. Localisation: El Oued. Département: Legal. As Senior Risk Manager, you'll perform key projects. En tant que Senior Risk Manager, vous serez amené à superviser les systèmes.","Voiture de fonction, Ticket Restaurant",39591,"Inventory Control, Logistics, Supply Chain Management, Lean Management, Process Optimization, Quality Control",4,4
Cloud Architect,,Product,Lead,"Nov 04, 2024",2024-12-07,2024-12-07,Santé,Béjaïa,Doctorat,20,Alternance,3,"Profil recherché (EN):
Responsabilités: Python; Budgeting; Communication; Research
Profil: Excel, Java
Compétences:
- Teamwork
- Strategic Planning
Avantages: Customer Service; Research; SEO
",Horaires flexibles,55205,"Network Security, C++, Cloud Computing, Kubernetes, Docker, SQL, Machine Learning",5,15
Content Writer,,Customer Success,Junior,26 May 2024,07/08/2024,2024-08-07,Ingénierie,Béjaïa,Licence,16,Alternance,2,"Expérience requise: 5-13 ans. Éducation: Licence, 16 ans. As Junior Content Writer, you'll manage strategic projects. En tant que Junior Content Writer, vous serez amené à coordonner les processus.",Voiture de fonction,82872,"Docker, Python, Cloud Computing, Kubernetes, Network Security, C++",5,13
Volunteer Coord.,,Data Science,Lead,15/08/2024,05 September 2024,2024-09-05,Ventes,Oran,Doctorat,20,Stage,3,"Profil recherché (FR):
Responsabilités: Maintenance, CAD, Budgeting
Profil:
- Digital Marketing
- Research
- Java
- Cloud
Compétences: Strategic Planning; Excel; Cloud
Avantages: Network Security; CAD; Graphic Design; Excel
","Prime performance, Assurance santé, Participation bénéfices",44387,"Problem Solving, Communication, Teamwork, Critical Thinking, Adaptability, Time Management",1,9
Blockchain Dev,,IT Support,Mid,"Feb 06, 2025",05 March 2025,2025-03-05,Logistique,Tizi Ouzou,Bac,12,Temporaire,2,"As Mid Blockchain Dev, you'll lead strategic projects. En tant que Mid Blockchain Dev, vous serez amené à développer les processus. Contrat: Temporaire. Localisation: Tizi Ouzou. Département: Engineering.",Participation bénéfices,35052,"Problem Solving, Communication, Teamwork, Critical Thinking",10,12
Exec. Assistant,,IT Support,Chief,28/12/2024,22 February 2025,2025-02-22,Ingénierie,Oran,Licence,16,Temps partiel,1,"As Chief Exec. Assistant, you'll lead critical projects. Expérience requise: 4-7 ans. Éducation: Licence, 16 ans. Contrat: Temps partiel. Localisation: Oran. Département: Sales.",Télétravail partiel,42186,"Office Management, Document Control, Data Entry, Customer Service, Scheduling",4,7
Translator,,Health & Safety,Junior,13/03/2025,2025-05-21,2025-05-21,Juridique,Tizi Ouzou,Licence,16,Freelance,3,"Profil recherché (MIX):
Responsabilités: Negotiation; Network Security; Java; Maintenance; Logistics
Profil: Strategic Planning; Project Mgmt
Compétences:
- Digital Marketing
- Organization
- Project Mgmt
Avantages:
- CAD
- Machine Learning
- Logistics
- Maintenance
",,39622,"Time Management, Critical Thinking, Problem Solving, Adaptability, Communication, Teamwork",1,11
Graphic Designer,,Research & Development,Lead,13 May 2024,2024-06-21,2024-06-21,Admin,Saïda,Licence,16,Temporaire,2,"En tant que Lead Graphic Designer, vous serez amené à superviser les systèmes. As Lead Graphic Designer, you'll perform critical projects. Expérience requise: 5-14 ans. Éducation: Licence, 16 ans.","Formation continue, Voiture de fonction, Ticket Restaurant",30243,"Typography, Illustrator, Prototyping, UX Research, Adobe Photoshop, Sketch",5,14
AI Ethics Consultant,,Training,Junior,30/09/2024,2024-11-29,2024-11-29,Juridique,Blida,Licence,16,Temporaire,3,"Expérience requise: 2-4 ans. Éducation: Licence, 16 ans. As Junior AI Ethics Consultant, you'll lead innovative projects. En tant que Junior AI Ethics Consultant, vous serez amené à gérer les relations clients.",Prime performance,34516,"Teamwork, Problem Solving, Adaptability, Communication, Critical Thinking, Time Management",2,4
Med. Rep,,Training,Chief,28/04/2024,2024-07-13,2024-07-13,Marketing,Constantine,Bac,12,Alternance,3,"Profil recherché (EN):
Responsabilités: Customer Service, Project Mgmt, Machine Learning, Strategic Planning, SQL
Profil: Organization; Customer Service
Compétences: Organization, Java, Blockchain, Communication
Avantages:
- Leadership
- Strategic Planning
- Network Security
- Communication
- Coordination
","Participation bénéfices, Formation continue, Horaires flexibles",41841,"Communication, Time Management, Critical Thinking, Teamwork, Adaptability, Problem Solving",2,11
Recruiter,,Data Science,Junior,07 October 2024,2024-11-27,2024-11-27,Finance,Télétravail,Master,18,Volontariat,3,"Contrat: Volontariat. Localisation: Télétravail. Département: Sales. Expérience requise: 0-9 ans. Éducation: Master, 18 ans. En tant que Junior Recruiter, vous serez amené à gérer les systèmes.",,96964,"Java, C++, SQL, DevOps, Docker, Cloud Computing, Machine Learning",0,9
Data Engineer,,Data Science,Senior,06 December 2024,2025-01-19,2025-01-19,Finance,Ghardaïa,None,0,Temps plein,2,"En tant que Senior Data Engineer, vous serez amené à coordonner les processus. As Senior Data Engineer, you'll design critical projects. Contrat: Temps plein. Localisation: Ghardaïa. Département: Operations.",,74111,"Cloud Computing, Java, C++, Docker, Python, DevOps",10,15
Customer Service Agent,,Data Science,Senior,24 June 2024,2024-08-28,2024-08-28,Ventes,Béjaïa,None,0,Temps plein,1,"Profil recherché (FR):
Responsabilités:
- Coordination
- Machine Learning
- Graphic Design
- Teamwork
- Communication
Profil: Blockchain; CAD; Customer Service; Cloud
Compétences: CAD; Coordination
Avantages: Python; Blockchain
","Voiture de fonction, Assurance santé",37955,"Scheduling, Document Control, Office Management, Customer Service, Data Entry",1,4
IT Intern,,Product,Lead,2024-05-16,26 May 2024,2024-05-26,Logistique,Sétif,Doctorat,20,Stage,5,"Contrat: Stage. Localisation: Sétif. Département: Marketing. En tant que Lead IT Intern, vous serez amené à superviser l’équipe. Expérience requise: 7-17 ans. Éducation: Doctorat, 20 ans.","Ticket Restaurant, Assurance santé",67242,"SQL, Network Security, Python, Java",7,17
Marketing Manager,,Customer Success,Chief,16/10/2024,28 November 2024,2024-11-28,Marketing,Alger,Licence,16,Alternance,1,"As Chief Marketing Manager, you'll design innovative projects. En tant que Chief Marketing Manager, vous serez amené à coordonner l’équipe. Contrat: Alternance. Localisation: Alger. Département: Sales.","Participation bénéfices, Horaires flexibles",64138,"Public Relations, Google Analytics, SEO, Brand Management, Social Media, Campaign Planning, Email Marketing",10,19
Project Manager,,Technical Support,Junior,14/02/2025,20/04/2025,2025-04-20,Finance,Béjaïa,Doctorat,20,Freelance,1,"Profil recherché (MIX):
Responsabilités: Java; Leadership
Profil: Java, Budgeting, Network Security
Compétences: Java, Coordination, Excel, Teamwork, Cloud
Avantages: UX/UI, CAD, Data Analysis
","Participation bénéfices, Ticket Restaurant",45102,"Quality Control, Lean Management, Logistics, Process Optimization, Inventory Control, Supply Chain Management",8,13
Legal Advisor,,Administration,Junior,17 February 2025,26 February 2025,2025-02-26,RH,Ghardaïa,Doctorat,20,Temps plein,10,"Profil recherché (EN):
Responsabilités: CAD, Logistics, Cloud, Organization, Java
Profil:
- Java
- Teamwork
Compétences: Compliance, CAD, Communication, Negotiation
Avantages:
- Graphic Design
- Java
- Customer Service
","Prime performance, Voiture de fonction",72179,"Contract Drafting, Compliance, Litigation Support, Negotiation, Legal Research, Regulatory Affairs",4,4
Sales Rep,,Product,Lead,06 March 2025,03/05/2025,2025-05-03,Santé,Alger,Doctorat,20,Alternance,5,"Expérience requise: 0-5 ans. Éducation: Doctorat, 20 ans. As Lead Sales Rep, you'll manage innovative projects. En tant que Lead Sales Rep, vous serez amené à superviser les processus.",Prime performance,42327,"Problem Solving, Adaptability, Communication, Critical Thinking, Time Management, Teamwork",0,5
CMO,,Design,Mid,31 August 2024,23/10/2024,2024-10-23,Juridique,Tizi Ouzou,Licence,16,Temporaire,5,"Profil recherché (EN):
Responsabilités: Python, SEO, Communication, Java, Customer Service
Profil: Python, Network Security, SQL
Compétences:
- Budgeting
- Excel
Avantages: Cloud, Project Mgmt, Logistics, Organization
",,37090,"Communication, Time Management, Teamwork, Adaptability",5,14
Graphic Designer,,Business Development,Senior,"Mar 17, 2025",01/04/2025,2025-04-01,Admin,Annaba,Licence,16,Temps plein,5,"Profil recherché (MIX):
Responsabilités: Coordination; Excel; Compliance
Profil: Network Security; Java; Technical Writing; Project Mgmt; Compliance
Compétences:
- Strategic Planning
- CAD
- Technical Writing
- Organization
Avantages: SEO; Machine Learning; Digital Marketing; Cloud; Negotiation
",Assurance santé,56547,"Prototyping, Sketch, Typography, Figma",6,15
UX Designer,,Business Development,Senior,18/03/2025,2025-03-30,2025-03-30,Ventes,Blida,None,0,Volontariat,3,"En tant que Senior UX Designer, vous serez amené à gérer les systèmes. Expérience requise: 0-6 ans. Éducation: None, 0 ans. As Senior UX Designer, you'll design innovative projects.","Participation bénéfices, Voiture de fonction",39280,"Illustrator, Figma, Typography, Prototyping, Color Theory, UX Research, Sketch",0,6
