skills,experience,salary,location,job_interest,sector,education_level,job_id
"Masonry, Blueprint Reading, Site Management, Safety Procedures, Plumbing",1,89121,Biskra,Construction,Construction,Master's,14134
"Supply Chain, Fleet Management, Routing",2,75679,Setif,Logistics,Supply Chain,No Formal Education,14135
"Reservation Systems, Front Desk, Customer Service, Event Planning",1,70876,Setif,Hospitality,Tourism & Hospitality,No Formal Education,14136
"Google Ads, Copywriting, SEO, Social Media, Content Creation",3,100429,Batna,Marketing,Business,Technical Diploma,14137
"R, Pandas, TensorFlow",1,45109,Sidi Bel Abbès,Data Science,Information Technology,No Formal Education,14138
"Accounting, Risk Management, Budgeting, Financial Analysis",8,50493,Batna,Finance,Business,Master's,14139
"Responsive Design, JavaScript, WordPress, CSS",2,84654,Tlemcen,Web Development,Information Technology,High School,14140
"Auditing, Financial Analysis, Investment, Budgeting, Accounting, Excel",7,107533,Bordj Bou Arreridj,Finance,Business,Technical Diploma,14141
"Warehouse Ops, Fleet Management, Routing, Inventory Management, Supply Chain",1,45216,Oran,Logistics,Supply Chain,No Formal Education,14142
"MATLAB, AutoCAD, Project Management",2,42252,Annaba,Engineering,Engineering,Technical Diploma,14143
"Medical Terminology, CPR, Anatomy, Patient Care, Phlebotomy",1,55203,M'Sila,Healthcare,Health,Ingénieur,14144
"JavaScript, WordPress, Node.js, React",3,134344,Constantine,Web Development,Information Technology,Ingénieur,14145
"Excel, Accounting, Auditing",2,159679,Skikda,Finance,Business,Doctorate,14146
"Regulatory Compliance, Contracts, Negotiation, Case Management, Legal Research, Litigation",10,169602,Annaba,Legal,Legal,Technical Diploma,14147
"Regulatory Compliance, Case Management, Negotiation, Contracts, Legal Research, Litigation",2,94164,Annaba,Legal,Legal,No Formal Education,14148
"Irrigation, Tractor Operation, Soil Testing, Crop Management, Pest Control, Agro-tech",2,79269,Setif,Agriculture,Agriculture,Bachelor's,14149
"Teaching, Assessment, E-Learning",10,76434,Setif,Education,Education,High School,14150
"Sales Forecasting, Cold Calling, Lead Generation, CRM, Negotiation, Customer Service",13,73806,Biskra,Sales,Business,Doctorate,14151
"Curriculum Design, Mentoring, Assessment, Classroom Management",2,120780,Setif,Education,Education,Bachelor's,14152
"Risk Management, Investment, Accounting, Financial Analysis, Auditing, Excel",2,116869,Algiers,Finance,Business,No Formal Education,14153
"Fleet Management, Routing, Warehouse Ops",14,130580,Biskra,Logistics,Supply Chain,Ingénieur,14154
"HTML, Node.js, WordPress, Responsive Design, JavaScript, CSS",1,126271,Relizane,Web Development,Information Technology,High School,14155
"Networking, Linux, Virtualization, Scripting, Windows Server, Security",1,98214,Tizi Ouzou,System Administration,Information Technology,Technical Diploma,14156
"Google Ads, Analytics, Copywriting, Social Media, Content Creation",2,129364,Mostaganem,Marketing,Business,Master's,14157
"Creativity, Illustrator, 3D Modeling, Graphic Design",1,90354,Tizi Ouzou,Art & Design,Creative,Doctorate,14158
"Agro-tech, Crop Management, Tractor Operation, Soil Testing, Pest Control",5,54209,Skikda,Agriculture,Agriculture,Technical Diploma,14159
"Customer Service, CRM, Sales Forecasting, Negotiation",4,45167,Skikda,Sales,Business,Doctorate,14160
"Customer Service, Food Safety, Reservation Systems",15,54049,Tipaza,Hospitality,Tourism & Hospitality,Doctorate,14161
"Site Management, Plumbing, Blueprint Reading, Carpentry",7,70785,Ouargla,Construction,Construction,Technical Diploma,14162
"Soil Testing, Pest Control, Agro-tech",4,70890,Mostaganem,Agriculture,Agriculture,No Formal Education,14163
"Supply Chain, Routing, Fleet Management",1,148438,Relizane,Logistics,Supply Chain,Ingénieur,14164
"MATLAB, Design, Blueprint Reading, AutoCAD, Project Management, SolidWorks",1,87276,Tizi Ouzou,Engineering,Engineering,Technical Diploma,14165
"Regulatory Compliance, Case Management, Legal Research",4,147427,Setif,Legal,Legal,Doctorate,14166
"Phlebotomy, EMR, Medical Terminology",2,64292,Bordj Bou Arreridj,Healthcare,Health,No Formal Education,14167
"Classroom Management, Assessment, Mentoring, Curriculum Design, Teaching, E-Learning",6,147533,Tizi Ouzou,Education,Education,Ingénieur,14168
"Phlebotomy, EMR, CPR, Medical Terminology",1,75561,Ouargla,Healthcare,Health,Doctorate,14169
"Food Safety, Reservation Systems, Front Desk, Customer Service, Event Planning",5,103278,Bejaia,Hospitality,Tourism & Hospitality,High School,14170
"Social Media, Content Creation, SEO, Copywriting, Branding, Google Ads",5,110839,Ghardaia,Marketing,Business,Master's,14171
"UI/UX, Illustrator, Photoshop, 3D Modeling",1,104102,Bejaia,Art & Design,Creative,Technical Diploma,14172
"Python, SQL, Git, Django",9,162270,Sidi Bel Abbès,Software Engineering,Information Technology,Ingénieur,14173
"Front Desk, Customer Service, Food Safety, Event Planning, Reservation Systems",2,85162,Skikda,Hospitality,Tourism & Hospitality,Technical Diploma,14174
"JavaScript, HTML, Node.js",11,150607,Setif,Web Development,Information Technology,Master's,14175
"Medical Terminology, Patient Care, Phlebotomy, CPR",3,61431,Tizi Ouzou,Healthcare,Health,Doctorate,14176
"Social Media, Analytics, Copywriting, Branding, Content Creation",4,88943,Mostaganem,Marketing,Business,Bachelor's,14177
"Illustrator, Creativity, Photoshop, Graphic Design, 3D Modeling, UI/UX",2,76778,Ghardaia,Art & Design,Creative,Doctorate,14178
"Litigation, Regulatory Compliance, Contracts",3,189519,Batna,Legal,Legal,Technical Diploma,14179
"Supply Chain, Warehouse Ops, Fleet Management",1,53318,Tlemcen,Logistics,Supply Chain,High School,14180
"Google Ads, Branding, Social Media, Copywriting, SEO, Analytics",13,65997,Mostaganem,Marketing,Business,Doctorate,14181
"Networking, Linux, Scripting, Windows Server",2,98267,Setif,System Administration,Information Technology,Doctorate,14182
"Accounting, Excel, Risk Management, Auditing, Financial Analysis, Budgeting",2,164795,Constantine,Finance,Business,Master's,14183
"Illustrator, Photoshop, UI/UX, 3D Modeling, Graphic Design",2,72515,Biskra,Art & Design,Creative,Bachelor's,14184
"SEO, Branding, Copywriting, Google Ads, Analytics",1,106751,Tlemcen,Marketing,Business,Technical Diploma,14185
"Inventory Management, Warehouse Ops, Routing, Fleet Management",3,162820,Skikda,Logistics,Supply Chain,Bachelor's,14186
"React, HTML, Node.js, WordPress, CSS",7,104653,Algiers,Web Development,Information Technology,Bachelor's,14187
"Medical Terminology, EMR, CPR",4,84505,Batna,Healthcare,Health,High School,14188
"Cold Calling, Customer Service, Negotiation, Sales Forecasting, Lead Generation, CRM",4,101216,Tlemcen,Sales,Business,High School,14189
"Reservation Systems, Food Safety, Event Planning, Customer Service",1,114611,Batna,Hospitality,Tourism & Hospitality,Master's,14190
"Customer Service, Lead Generation, Sales Forecasting, Negotiation",11,59403,Algiers,Sales,Business,Master's,14191
"Google Ads, Content Creation, SEO, Analytics, Copywriting, Social Media",3,72108,Bejaia,Marketing,Business,Bachelor's,14192
"MATLAB, Design, SolidWorks, AutoCAD, Project Management",1,185017,Mostaganem,Engineering,Engineering,Technical Diploma,14193
"Reservation Systems, Front Desk, Customer Service",3,72614,Annaba,Hospitality,Tourism & Hospitality,Technical Diploma,14194
"SolidWorks, AutoCAD, Design",12,100316,Oran,Engineering,Engineering,High School,14195
"Financial Analysis, Auditing, Budgeting",3,89938,Annaba,Finance,Business,Bachelor's,14196
"REST, JavaScript, Python, Django, C++",1,65660,Ouargla,Software Engineering,Information Technology,Master's,14197
"Virtualization, Windows Server, Security, Scripting, Linux, Networking",1,69791,Tlemcen,System Administration,Information Technology,Doctorate,14198
"Networking, Windows Server, Scripting, Security, Linux",1,114158,Blida,System Administration,Information Technology,Bachelor's,14199
"Node.js, Responsive Design, React",5,128010,Skikda,Web Development,Information Technology,Ingénieur,14200
"Site Management, Plumbing, Carpentry, Blueprint Reading, Safety Procedures, Masonry",13,77282,Bejaia,Construction,Construction,Master's,14201
"Contracts, Regulatory Compliance, Negotiation",3,99353,Bordj Bou Arreridj,Legal,Legal,Technical Diploma,14202
"HTML, CSS, Node.js, WordPress, Responsive Design",10,103344,Chlef,Web Development,Information Technology,Technical Diploma,14203
"Safety Procedures, Carpentry, Plumbing, Masonry, Site Management, Blueprint Reading",4,116591,Chlef,Construction,Construction,Bachelor's,14204
"Lead Generation, Negotiation, Customer Service, Sales Forecasting",1,39644,Relizane,Sales,Business,No Formal Education,14205
"Security, Scripting, Virtualization, Networking, Windows Server, Linux",1,64495,Chlef,System Administration,Information Technology,Bachelor's,14206
"Scripting, Security, Linux",4,192536,M'Sila,System Administration,Information Technology,Technical Diploma,14207
"TensorFlow, Python, Machine Learning",2,177196,Annaba,Data Science,Information Technology,High School,14208
"SIEM, Firewalls, Ethical Hacking, Forensics, Penetration Testing, Network Security",1,128968,Tizi Ouzou,Cybersecurity,Information Technology,Technical Diploma,14209
"Accounting, Budgeting, Financial Analysis, Risk Management, Auditing, Excel",3,91035,Mostaganem,Finance,Business,Doctorate,14210
"Social Media, Analytics, Branding",5,36280,Batna,Marketing,Business,No Formal Education,14211
"Reservation Systems, Food Safety, Front Desk, Event Planning, Customer Service",15,122920,Bordj Bou Arreridj,Hospitality,Tourism & Hospitality,No Formal Education,14212
"React, WordPress, CSS, HTML",2,88317,Oran,Web Development,Information Technology,Ingénieur,14213
"Google Ads, SEO, Copywriting, Analytics",2,132873,Ghardaia,Marketing,Business,Doctorate,14214
"CPR, Anatomy, Patient Care, Phlebotomy",5,119607,Chlef,Healthcare,Health,Master's,14215
"Irrigation, Agro-tech, Soil Testing",9,48110,Sidi Bel Abbès,Agriculture,Agriculture,Doctorate,14216
"Penetration Testing, Ethical Hacking, Firewalls, Forensics, SIEM, Network Security",2,168663,Relizane,Cybersecurity,Information Technology,Doctorate,14217
"Event Planning, Customer Service, Reservation Systems, Front Desk, Food Safety",1,55257,Constantine,Hospitality,Tourism & Hospitality,Bachelor's,14218
"Inventory Management, Fleet Management, Warehouse Ops",9,58168,Ghardaia,Logistics,Supply Chain,Doctorate,14219
"Project Management, Design, MATLAB, SolidWorks, Blueprint Reading, AutoCAD",6,72021,Mostaganem,Engineering,Engineering,Doctorate,14220
"Phlebotomy, Patient Care, Medical Terminology, Anatomy",2,135274,Relizane,Healthcare,Health,No Formal Education,14221
"SolidWorks, Blueprint Reading, Project Management, Design, MATLAB, AutoCAD",2,76937,Setif,Engineering,Engineering,No Formal Education,14222
"Soil Testing, Pest Control, Irrigation, Tractor Operation, Crop Management",5,75653,Biskra,Agriculture,Agriculture,High School,14223
"Project Management, AutoCAD, MATLAB, Blueprint Reading, SolidWorks, Design",6,100210,Ouargla,Engineering,Engineering,Bachelor's,14224
"Analytics, Branding, Google Ads",8,107141,Oran,Marketing,Business,High School,14225
"SEO, Google Ads, Content Creation",1,74372,Tizi Ouzou,Marketing,Business,Bachelor's,14226
"Networking, Virtualization, Security",1,92963,Bordj Bou Arreridj,System Administration,Information Technology,High School,14227
"Machine Learning, TensorFlow, SQL, Data Visualization, Python",2,121160,Ouargla,Data Science,Information Technology,Master's,14228
"Irrigation, Crop Management, Agro-tech, Soil Testing, Tractor Operation, Pest Control",1,100776,Constantine,Agriculture,Agriculture,No Formal Education,14229
"Firewalls, SIEM, Ethical Hacking, Penetration Testing, Network Security",2,114454,Algiers,Cybersecurity,Information Technology,Doctorate,14230
"SEO, Content Creation, Analytics, Social Media, Copywriting, Google Ads",3,145594,M'Sila,Marketing,Business,Master's,14231
"Forensics, Penetration Testing, SIEM, Firewalls",14,67243,Mostaganem,Cybersecurity,Information Technology,Bachelor's,14232
"Ethical Hacking, SIEM, Penetration Testing, Forensics, Firewalls",1,110997,Chlef,Cybersecurity,Information Technology,Master's,14233
"Fleet Management, Supply Chain, Routing, Inventory Management",15,115523,Algiers,Logistics,Supply Chain,High School,14234
"Contracts, Regulatory Compliance, Litigation, Legal Research",4,84673,Sidi Bel Abbès,Legal,Legal,Ingénieur,14235
"Medical Terminology, EMR, Phlebotomy",2,123581,Setif,Healthcare,Health,Bachelor's,14236
"Linux, Networking, Virtualization",11,112879,M'Sila,System Administration,Information Technology,Technical Diploma,14237
"MATLAB, Project Management, SolidWorks, Blueprint Reading, AutoCAD, Design",1,99368,Mostaganem,Engineering,Engineering,High School,14238
"Firewalls, SIEM, Forensics, Network Security",12,142042,Bejaia,Cybersecurity,Information Technology,Ingénieur,14239
"Classroom Management, E-Learning, Assessment",1,174893,Constantine,Education,Education,Bachelor's,14240
"Event Planning, Food Safety, Front Desk",10,62883,Blida,Hospitality,Tourism & Hospitality,High School,14241
"Agro-tech, Irrigation, Pest Control, Soil Testing",12,152620,Oran,Agriculture,Agriculture,High School,14242
"Scripting, Linux, Networking, Security",2,71075,Ouargla,System Administration,Information Technology,Technical Diploma,14243
"Supply Chain, Routing, Warehouse Ops, Fleet Management",1,161924,Setif,Logistics,Supply Chain,Doctorate,14244
"Legal Research, Regulatory Compliance, Contracts, Case Management, Negotiation, Litigation",2,123876,Tipaza,Legal,Legal,High School,14245
"SIEM, Forensics, Ethical Hacking, Penetration Testing, Network Security",11,92301,Sidi Bel Abbès,Cybersecurity,Information Technology,Doctorate,14246
"Customer Service, Cold Calling, Negotiation",4,87486,M'Sila,Sales,Business,No Formal Education,14247
"Inventory Management, Routing, Warehouse Ops, Fleet Management, Supply Chain",13,63766,Setif,Logistics,Supply Chain,Master's,14248
"Content Creation, Copywriting, Analytics, SEO, Google Ads",1,169323,Biskra,Marketing,Business,Ingénieur,14249
"Negotiation, CRM, Cold Calling, Customer Service, Sales Forecasting, Lead Generation",2,56298,Algiers,Sales,Business,Ingénieur,14250
"Networking, Windows Server, Virtualization, Scripting, Linux, Security",14,108590,Constantine,System Administration,Information Technology,Master's,14251
"Fleet Management, Supply Chain, Inventory Management, Routing",15,166990,Oran,Logistics,Supply Chain,Technical Diploma,14252
"Accounting, Investment, Excel, Risk Management",7,169871,M'Sila,Finance,Business,No Formal Education,14253
"REST, Git, Spring, SQL, Django, Java",5,133996,Blida,Software Engineering,Information Technology,Ingénieur,14254
"Django, Python, SQL, JavaScript",1,165909,Bejaia,Software Engineering,Information Technology,Bachelor's,14255
"SEO, Google Ads, Branding, Analytics, Social Media, Copywriting",6,79062,Mostaganem,Marketing,Business,No Formal Education,14256
"Agro-tech, Crop Management, Tractor Operation, Irrigation, Soil Testing",1,70941,Constantine,Agriculture,Agriculture,Ingénieur,14257
"Blueprint Reading, Safety Procedures, Plumbing, Masonry, Site Management",1,65179,Tizi Ouzou,Construction,Construction,No Formal Education,14258
"HTML, React, Node.js, Responsive Design",6,78487,Algiers,Web Development,Information Technology,Ingénieur,14259
"Budgeting, Investment, Excel, Risk Management, Accounting, Auditing",1,47695,Ouargla,Finance,Business,Technical Diploma,14260
"Blueprint Reading, Plumbing, Masonry, Carpentry",10,70589,Annaba,Construction,Construction,No Formal Education,14261
"Supply Chain, Fleet Management, Routing, Inventory Management, Warehouse Ops",8,53085,Bejaia,Logistics,Supply Chain,High School,14262
"Copywriting, Content Creation, Google Ads, Analytics, Branding, Social Media",6,55976,Chlef,Marketing,Business,Technical Diploma,14263
"Illustrator, UI/UX, 3D Modeling, Creativity, Graphic Design",1,156830,Tipaza,Art & Design,Creative,Bachelor's,14264
"UI/UX, Graphic Design, Creativity, 3D Modeling, Photoshop, Illustrator",6,50291,Tipaza,Art & Design,Creative,Doctorate,14265
"C++, SQL, Python",7,76321,Skikda,Software Engineering,Information Technology,Technical Diploma,14266
"Mentoring, Classroom Management, E-Learning",9,118927,Sidi Bel Abbès,Education,Education,Ingénieur,14267
"Food Safety, Front Desk, Reservation Systems",15,92710,Bordj Bou Arreridj,Hospitality,Tourism & Hospitality,No Formal Education,14268
"Teaching, E-Learning, Mentoring, Classroom Management",2,60809,Blida,Education,Education,Technical Diploma,14269
"React, Node.js, JavaScript, HTML, CSS",2,73382,Constantine,Web Development,Information Technology,Ingénieur,14270
"Reservation Systems, Customer Service, Front Desk",11,61180,Mostaganem,Hospitality,Tourism & Hospitality,Master's,14271
"Anatomy, EMR, Phlebotomy, CPR, Medical Terminology",3,69277,Annaba,Healthcare,Health,High School,14272
"Negotiation, Customer Service, Sales Forecasting, Cold Calling, CRM, Lead Generation",5,91484,Tipaza,Sales,Business,No Formal Education,14273
"Spring, C++, SQL, Django, JavaScript, Java",6,50250,Setif,Software Engineering,Information Technology,Ingénieur,14274
"Design, SolidWorks, Project Management, Blueprint Reading",5,76682,Skikda,Engineering,Engineering,Bachelor's,14275
"CRM, Customer Service, Sales Forecasting, Cold Calling",2,100827,Bejaia,Sales,Business,No Formal Education,14276
"Responsive Design, HTML, WordPress, Node.js, JavaScript",9,83176,Chlef,Web Development,Information Technology,Ingénieur,14277
"Machine Learning, Data Visualization, R",1,114904,M'Sila,Data Science,Information Technology,High School,14278
"Copywriting, Content Creation, Branding, Google Ads",3,84304,Tipaza,Marketing,Business,Bachelor's,14279
"SIEM, Network Security, Forensics",4,64392,Ghardaia,Cybersecurity,Information Technology,High School,14280
"Carpentry, Plumbing, Safety Procedures, Site Management, Blueprint Reading",3,154238,Mostaganem,Construction,Construction,Bachelor's,14281
"Graphic Design, 3D Modeling, Creativity, Photoshop, UI/UX",3,139908,Blida,Art & Design,Creative,Master's,14282
"Reservation Systems, Front Desk, Event Planning, Customer Service, Food Safety",6,54874,Tipaza,Hospitality,Tourism & Hospitality,Master's,14283
"TensorFlow, SQL, Machine Learning",9,94587,Relizane,Data Science,Information Technology,Technical Diploma,14284
"Inventory Management, Supply Chain, Warehouse Ops",1,76766,Batna,Logistics,Supply Chain,Ingénieur,14285
"Creativity, Graphic Design, 3D Modeling",8,99055,Bejaia,Art & Design,Creative,Ingénieur,14286
"WordPress, JavaScript, Node.js, React, CSS, HTML",2,41685,Blida,Web Development,Information Technology,High School,14287
"Pest Control, Irrigation, Crop Management, Soil Testing, Tractor Operation, Agro-tech",11,61531,Ouargla,Agriculture,Agriculture,Doctorate,14288
"TensorFlow, Pandas, SQL, Statistics",1,129767,Annaba,Data Science,Information Technology,Technical Diploma,14289
"Routing, Fleet Management, Warehouse Ops",15,165739,M'Sila,Logistics,Supply Chain,No Formal Education,14290
"Security, Scripting, Linux, Windows Server, Networking",1,62347,Bejaia,System Administration,Information Technology,High School,14291
"SQL, Python, Machine Learning, R, Pandas, Statistics",12,75296,Tipaza,Data Science,Information Technology,High School,14292
"HTML, WordPress, Responsive Design, JavaScript",8,80381,Tipaza,Web Development,Information Technology,Ingénieur,14293
"Sales Forecasting, Customer Service, Lead Generation, Negotiation",1,77984,Ouargla,Sales,Business,Bachelor's,14294
"C++, Django, Spring, Git, JavaScript, REST",1,74411,Oran,Software Engineering,Information Technology,High School,14295
"Patient Care, Phlebotomy, EMR, Anatomy, CPR, Medical Terminology",6,82007,Ouargla,Healthcare,Health,Ingénieur,14296
"Data Visualization, SQL, Statistics",1,43244,Biskra,Data Science,Information Technology,Technical Diploma,14297
"Analytics, Branding, SEO, Copywriting, Google Ads",3,147756,Sidi Bel Abbès,Marketing,Business,Technical Diploma,14298
"Forensics, Penetration Testing, Firewalls",2,56503,Bordj Bou Arreridj,Cybersecurity,Information Technology,Technical Diploma,14299
"Warehouse Ops, Inventory Management, Fleet Management, Supply Chain, Routing",10,73015,Constantine,Logistics,Supply Chain,Bachelor's,14300
"Carpentry, Plumbing, Safety Procedures",3,132101,Oran,Construction,Construction,Bachelor's,14301
"Budgeting, Accounting, Investment",8,114811,Bejaia,Finance,Business,Doctorate,14302
"Virtualization, Scripting, Windows Server, Networking",4,102709,Ghardaia,System Administration,Information Technology,No Formal Education,14303
"Contracts, Negotiation, Regulatory Compliance",1,67426,Skikda,Legal,Legal,Technical Diploma,14304
"JavaScript, WordPress, HTML, React",7,88720,Constantine,Web Development,Information Technology,Bachelor's,14305
"Python, Java, C++, JavaScript, Spring, REST",14,71365,Tipaza,Software Engineering,Information Technology,Ingénieur,14306
"Curriculum Design, Mentoring, Assessment, Classroom Management, Teaching",1,59526,Tizi Ouzou,Education,Education,Doctorate,14307
"Curriculum Design, Teaching, E-Learning, Mentoring, Assessment",7,118697,Algiers,Education,Education,No Formal Education,14308
"Illustrator, Photoshop, Graphic Design",5,43972,Relizane,Art & Design,Creative,Doctorate,14309
"E-Learning, Mentoring, Classroom Management, Assessment, Teaching",1,110851,Biskra,Education,Education,Technical Diploma,14310
"Blueprint Reading, Plumbing, Carpentry, Masonry, Safety Procedures",1,53780,Sidi Bel Abbès,Construction,Construction,Ingénieur,14311
"Negotiation, Regulatory Compliance, Case Management",1,104361,Algiers,Legal,Legal,No Formal Education,14312
"Graphic Design, Illustrator, Creativity",4,168816,Ghardaia,Art & Design,Creative,No Formal Education,14313
"REST, Java, Spring, Git, C++",2,148924,Tipaza,Software Engineering,Information Technology,Doctorate,14314
"Litigation, Negotiation, Legal Research, Regulatory Compliance, Case Management, Contracts",2,169889,Setif,Legal,Legal,Ingénieur,14315
"MATLAB, SolidWorks, AutoCAD, Blueprint Reading, Design",3,164565,M'Sila,Engineering,Engineering,Doctorate,14316
"Python, SQL, Spring",15,89941,Bordj Bou Arreridj,Software Engineering,Information Technology,No Formal Education,14317
"Carpentry, Safety Procedures, Plumbing, Masonry, Blueprint Reading, Site Management",12,128457,Bejaia,Construction,Construction,No Formal Education,14318
"E-Learning, Assessment, Mentoring",10,64925,Setif,Education,Education,Master's,14319
"EMR, Medical Terminology, Anatomy, Patient Care, CPR, Phlebotomy",1,100058,Oran,Healthcare,Health,Bachelor's,14320
"Anatomy, EMR, Patient Care",2,104818,Ghardaia,Healthcare,Health,Master's,14321
"Analytics, Content Creation, Copywriting, Branding",4,66812,Ghardaia,Marketing,Business,Technical Diploma,14322
"Patient Care, CPR, Medical Terminology",1,169281,Bordj Bou Arreridj,Healthcare,Health,Technical Diploma,14323
"Google Ads, Content Creation, Social Media, Copywriting",6,69273,Batna,Marketing,Business,No Formal Education,14324
"Node.js, HTML, JavaScript, React",1,68591,Tlemcen,Web Development,Information Technology,Master's,14325
"Customer Service, Reservation Systems, Front Desk",4,42116,Biskra,Hospitality,Tourism & Hospitality,No Formal Education,14326
"Photoshop, Graphic Design, UI/UX, Creativity, Illustrator, 3D Modeling",2,118599,Sidi Bel Abbès,Art & Design,Creative,High School,14327
"Classroom Management, Assessment, Teaching, Curriculum Design, Mentoring, E-Learning",1,60163,Bejaia,Education,Education,High School,14328
"Phlebotomy, Anatomy, CPR",1,149855,Chlef,Healthcare,Health,No Formal Education,14329
"Project Management, AutoCAD, MATLAB, SolidWorks, Design",14,86144,Bejaia,Engineering,Engineering,Master's,14330
"Case Management, Regulatory Compliance, Litigation, Negotiation, Contracts",13,93196,Ouargla,Legal,Legal,Doctorate,14331
"Contracts, Litigation, Legal Research, Negotiation, Case Management",1,94730,Annaba,Legal,Legal,High School,14332
"Phlebotomy, EMR, Medical Terminology, CPR, Patient Care",3,100300,Skikda,Healthcare,Health,High School,14333
"SEO, Content Creation, Google Ads",3,151572,Chlef,Marketing,Business,High School,14334
"Machine Learning, TensorFlow, R, Python, Pandas",3,112484,Bordj Bou Arreridj,Data Science,Information Technology,Ingénieur,14335
"Statistics, R, Pandas, Data Visualization, Python",7,101118,Blida,Data Science,Information Technology,Doctorate,14336
"Lead Generation, Sales Forecasting, Cold Calling",3,155288,Setif,Sales,Business,No Formal Education,14337
"Sales Forecasting, Negotiation, Cold Calling, Lead Generation, CRM, Customer Service",12,67606,Skikda,Sales,Business,Master's,14338
"Linux, Security, Windows Server, Scripting, Virtualization",2,104488,Constantine,System Administration,Information Technology,No Formal Education,14339
"Creativity, 3D Modeling, Graphic Design, UI/UX",12,92803,Relizane,Art & Design,Creative,Bachelor's,14340
"Mentoring, E-Learning, Classroom Management, Teaching, Assessment",3,85368,Sidi Bel Abbès,Education,Education,Bachelor's,14341
"CSS, WordPress, Node.js, Responsive Design",2,93758,Ghardaia,Web Development,Information Technology,Bachelor's,14342
"Classroom Management, Assessment, E-Learning, Curriculum Design, Mentoring",3,94280,Oran,Education,Education,Ingénieur,14343
"Security, Scripting, Linux, Networking, Virtualization",4,63040,Relizane,System Administration,Information Technology,High School,14344
"Responsive Design, JavaScript, Node.js, React",2,61104,Biskra,Web Development,Information Technology,High School,14345
"Project Management, SolidWorks, MATLAB, Blueprint Reading",9,80984,Oran,Engineering,Engineering,Doctorate,14346
"Teaching, E-Learning, Curriculum Design, Mentoring",15,133892,Chlef,Education,Education,No Formal Education,14347
"Graphic Design, UI/UX, Photoshop, Illustrator, Creativity, 3D Modeling",10,102633,Chlef,Art & Design,Creative,Technical Diploma,14348
"Lead Generation, Cold Calling, Negotiation, CRM, Customer Service, Sales Forecasting",11,170548,Setif,Sales,Business,Bachelor's,14349
"Assessment, Curriculum Design, Mentoring, E-Learning, Teaching",2,67685,Skikda,Education,Education,Master's,14350
"Investment, Risk Management, Financial Analysis, Accounting, Excel",12,41398,M'Sila,Finance,Business,Bachelor's,14351
"Blueprint Reading, Carpentry, Masonry, Safety Procedures, Plumbing, Site Management",3,123493,Skikda,Construction,Construction,Technical Diploma,14352
"Warehouse Ops, Inventory Management, Fleet Management",2,78240,Skikda,Logistics,Supply Chain,Bachelor's,14353
"Firewalls, Ethical Hacking, Forensics",5,53333,Chlef,Cybersecurity,Information Technology,Bachelor's,14354
"Customer Service, CRM, Sales Forecasting, Lead Generation",6,80885,Sidi Bel Abbès,Sales,Business,Doctorate,14355
"Photoshop, UI/UX, 3D Modeling, Creativity, Graphic Design",1,68399,Constantine,Art & Design,Creative,No Formal Education,14356
"SQL, Pandas, Statistics, Machine Learning, Data Visualization, TensorFlow",8,180073,M'Sila,Data Science,Information Technology,Doctorate,14357
"Inventory Management, Fleet Management, Routing, Warehouse Ops, Supply Chain",14,67081,Annaba,Logistics,Supply Chain,No Formal Education,14358
"Risk Management, Accounting, Financial Analysis",5,94760,Blida,Finance,Business,Bachelor's,14359
"R, TensorFlow, Machine Learning, Statistics",3,133072,Batna,Data Science,Information Technology,Technical Diploma,14360
"Blueprint Reading, Site Management, Plumbing, Carpentry",11,130047,Relizane,Construction,Construction,Ingénieur,14361
"Social Media, Analytics, SEO",14,123262,M'Sila,Marketing,Business,Bachelor's,14362
"Masonry, Site Management, Blueprint Reading, Plumbing, Carpentry",4,115932,Bordj Bou Arreridj,Construction,Construction,Master's,14363
"Virtualization, Security, Linux",9,83046,Ghardaia,System Administration,Information Technology,Technical Diploma,14364
"Creativity, 3D Modeling, Photoshop",14,129873,Tipaza,Art & Design,Creative,Bachelor's,14365
"Excel, Risk Management, Budgeting, Financial Analysis, Auditing, Investment",4,139423,Ghardaia,Finance,Business,Master's,14366
"Soil Testing, Crop Management, Irrigation, Tractor Operation",2,46397,Tizi Ouzou,Agriculture,Agriculture,Ingénieur,14367
"C++, Java, JavaScript, REST, Django",4,81529,Tipaza,Software Engineering,Information Technology,Technical Diploma,14368
"Carpentry, Safety Procedures, Blueprint Reading, Site Management, Plumbing, Masonry",8,103722,Chlef,Construction,Construction,Master's,14369
"Scripting, Windows Server, Virtualization, Networking, Linux, Security",6,53868,Tlemcen,System Administration,Information Technology,No Formal Education,14370
"SEO, Content Creation, Branding, Copywriting",2,69543,Batna,Marketing,Business,Technical Diploma,14371
"CRM, Lead Generation, Customer Service",2,98036,Blida,Sales,Business,High School,14372
"WordPress, CSS, JavaScript, Responsive Design, HTML",4,56374,Tizi Ouzou,Web Development,Information Technology,Doctorate,14373
"Graphic Design, Photoshop, Creativity, Illustrator, 3D Modeling",5,65650,Setif,Art & Design,Creative,High School,14374
"Pandas, Statistics, Python",1,130508,Sidi Bel Abbès,Data Science,Information Technology,Master's,14375
"Carpentry, Safety Procedures, Blueprint Reading, Masonry",2,125863,Bejaia,Construction,Construction,No Formal Education,14376
"Blueprint Reading, Site Management, Plumbing",6,36001,Chlef,Construction,Construction,Master's,14377
