skills,experience,salary,location,job_interest,sector,education_level,job_id,Approximate Years of Education,education_years,job_type
"Routing, Warehouse Ops, Supply Chain",1,110855,Annaba,Logistics,Supply Chain,Technical Diploma,15107,,14,Full-time
"Pest Control, Tractor Operation, Crop Management",13,100785,Constantine,Agriculture,Agriculture,Technical Diploma,15108,,14,Full-time
"Data Visualization, SQL, R, Statistics, Machine Learning, Python",9,129559,Oran,Data Science,Information Technology,Doctorate,15109,20.0,20,Full-time
"Creativity, Photoshop, Graphic Design, 3D Modeling, Illustrator",9,39373,Tipaza,Art & Design,Creative,Bachelor's,15110,12.0,15,Full-time
"Customer Service, Sales Forecasting, Lead Generation, Negotiation, CRM, Cold Calling",9,142631,Blida,Sales,Business,Doctorate,15111,20.0,20,Full-time
"Blueprint Reading, SolidWorks, AutoCAD, Design, Project Management, MATLAB",1,126654,Mostaganem,Engineering,Engineering,Ingénieur,15112,17.0,17,Full-time
"SolidWorks, Project Management, AutoCAD, Blueprint Reading, MATLAB, Design",12,107387,Biskra,Engineering,Engineering,Doctorate,15113,20.0,20,Full-time
"Case Management, Litigation, Legal Research",12,84217,Skikda,Legal,Legal,Master's,15114,17.0,17,Full-time
"HTML, CSS, React, Responsive Design",1,123712,Relizane,Web Development,Information Technology,No Formal Education,15115,0.0,0,Full-time
"SolidWorks, Design, MATLAB",1,86308,Chlef,Engineering,Engineering,No Formal Education,15116,0.0,0,Full-time
"Photoshop, 3D Modeling, Illustrator, Graphic Design, UI/UX",1,130060,Relizane,Art & Design,Creative,Master's,15117,17.0,17,Full-time
"Masonry, Carpentry, Safety Procedures, Plumbing, Site Management, Blueprint Reading",2,112332,Ouargla,Construction,Construction,High School,15118,9.0,12,Full-time
"Auditing, Accounting, Investment, Budgeting",5,119935,Tipaza,Finance,Business,Doctorate,15119,20.0,20,Full-time
"Routing, Inventory Management, Supply Chain, Warehouse Ops",1,69146,Tipaza,Logistics,Supply Chain,Master's,15120,17.0,17,Full-time
"SIEM, Penetration Testing, Forensics, Firewalls, Ethical Hacking",8,146489,Skikda,Cybersecurity,Information Technology,Bachelor's,15121,12.0,15,Full-time
"AutoCAD, Blueprint Reading, MATLAB, SolidWorks, Project Management, Design",14,69757,Batna,Engineering,Engineering,Doctorate,15122,20.0,20,Full-time
"Google Ads, SEO, Analytics, Copywriting, Content Creation, Social Media",6,73223,Constantine,Marketing,Business,Doctorate,15123,20.0,20,Full-time
"CPR, Anatomy, Phlebotomy, EMR, Medical Terminology",4,95048,Oran,Healthcare,Health,Master's,15124,17.0,17,Full-time
"Assessment, Mentoring, Classroom Management",14,142100,Constantine,Education,Education,Bachelor's,15125,12.0,15,Full-time
"Networking, Scripting, Linux, Windows Server, Virtualization, Security",2,121960,Tlemcen,System Administration,Information Technology,Technical Diploma,15126,,14,Full-time
"Event Planning, Reservation Systems, Front Desk, Food Safety, Customer Service",4,59018,Tlemcen,Hospitality,Tourism & Hospitality,Master's,15127,17.0,17,Full-time
"CRM, Sales Forecasting, Cold Calling, Customer Service",2,95294,Ghardaia,Sales,Business,No Formal Education,15128,0.0,0,Full-time
"Financial Analysis, Investment, Excel, Auditing, Risk Management",1,128921,Blida,Finance,Business,Doctorate,15129,20.0,20,Full-time
"Ethical Hacking, Firewalls, Forensics, SIEM, Network Security",1,43961,Ghardaia,Cybersecurity,Information Technology,High School,15130,9.0,12,Full-time
"Auditing, Excel, Accounting, Risk Management",3,176135,Bejaia,Finance,Business,Master's,15131,17.0,17,Full-time
"Networking, Scripting, Security, Linux, Windows Server, Virtualization",5,99282,Sidi Bel Abbès,System Administration,Information Technology,Doctorate,15132,20.0,20,Full-time
"CPR, Phlebotomy, EMR, Anatomy",1,138399,Chlef,Healthcare,Health,No Formal Education,15133,0.0,0,Full-time
"Event Planning, Front Desk, Food Safety, Reservation Systems",5,60380,Biskra,Hospitality,Tourism & Hospitality,Technical Diploma,15134,,14,Full-time
"WordPress, JavaScript, Responsive Design",4,150078,Constantine,Web Development,Information Technology,No Formal Education,15135,0.0,0,Full-time
"TensorFlow, Data Visualization, Python, Statistics",2,156513,Bejaia,Data Science,Information Technology,Ingénieur,15136,17.0,17,Full-time
"Windows Server, Security, Linux, Networking, Virtualization, Scripting",2,82963,Tlemcen,System Administration,Information Technology,Doctorate,15137,20.0,20,Full-time
"Negotiation, Sales Forecasting, Cold Calling, Customer Service, Lead Generation",3,123686,Oran,Sales,Business,No Formal Education,15138,0.0,0,Full-time
"Irrigation, Pest Control, Soil Testing, Tractor Operation",4,61622,Bordj Bou Arreridj,Agriculture,Agriculture,Bachelor's,15139,12.0,15,Full-time
"Inventory Management, Fleet Management, Routing, Supply Chain, Warehouse Ops",1,107427,Relizane,Logistics,Supply Chain,Doctorate,15140,20.0,20,Full-time
"MATLAB, Design, SolidWorks",1,141284,Setif,Engineering,Engineering,No Formal Education,15141,0.0,0,Full-time
"Soil Testing, Agro-tech, Tractor Operation, Irrigation, Crop Management, Pest Control",1,124354,Ouargla,Agriculture,Agriculture,Master's,15142,17.0,17,Full-time
"Responsive Design, CSS, WordPress",2,63772,Bejaia,Web Development,Information Technology,No Formal Education,15143,0.0,0,Full-time
"JavaScript, React, WordPress",1,109881,Bejaia,Web Development,Information Technology,Ingénieur,15144,17.0,17,Full-time
"React, JavaScript, CSS",1,121826,M'Sila,Web Development,Information Technology,Doctorate,15145,20.0,20,Full-time
"Safety Procedures, Blueprint Reading, Carpentry, Site Management, Plumbing, Masonry",2,131118,Mostaganem,Construction,Construction,Bachelor's,15146,12.0,15,Full-time
"Medical Terminology, Anatomy, Phlebotomy, EMR, CPR, Patient Care",3,102387,Setif,Healthcare,Health,Technical Diploma,15147,,14,Full-time
"Front Desk, Food Safety, Event Planning",4,62120,Bordj Bou Arreridj,Hospitality,Tourism & Hospitality,Technical Diploma,15148,,14,Full-time
"Contracts, Regulatory Compliance, Litigation, Negotiation, Case Management",6,89364,Relizane,Legal,Legal,Doctorate,15149,20.0,20,Full-time
"Pest Control, Irrigation, Agro-tech",3,85444,Batna,Agriculture,Agriculture,Bachelor's,15150,12.0,15,Full-time
"Assessment, Mentoring, Classroom Management, E-Learning, Curriculum Design, Teaching",6,160977,Tlemcen,Education,Education,Ingénieur,15151,17.0,17,Full-time
"Medical Terminology, Phlebotomy, Patient Care",11,72593,Relizane,Healthcare,Health,Bachelor's,15152,12.0,15,Full-time
"MATLAB, Project Management, Design, Blueprint Reading",4,34296,Sidi Bel Abbès,Engineering,Engineering,Technical Diploma,15153,,14,Full-time
"Reservation Systems, Food Safety, Event Planning, Front Desk",9,52600,Relizane,Hospitality,Tourism & Hospitality,Ingénieur,15154,17.0,17,Full-time
"Site Management, Plumbing, Safety Procedures, Carpentry, Blueprint Reading, Masonry",3,59903,Blida,Construction,Construction,Bachelor's,15155,12.0,15,Full-time
"SolidWorks, Blueprint Reading, Design, MATLAB, AutoCAD, Project Management",1,95469,Sidi Bel Abbès,Engineering,Engineering,Technical Diploma,15156,,14,Full-time
"Case Management, Contracts, Regulatory Compliance, Negotiation, Litigation",1,93587,Relizane,Legal,Legal,Ingénieur,15157,17.0,17,Full-time
"Social Media, Copywriting, Content Creation, SEO, Google Ads",13,158951,Chlef,Marketing,Business,Doctorate,15158,20.0,20,Full-time
"Mentoring, Curriculum Design, Assessment, Classroom Management",2,70416,Skikda,Education,Education,Doctorate,15159,20.0,20,Full-time
"Soil Testing, Tractor Operation, Agro-tech, Irrigation, Crop Management",2,111795,Chlef,Agriculture,Agriculture,Ingénieur,15160,17.0,17,Full-time
"Anatomy, CPR, Patient Care, EMR",1,59423,Tipaza,Healthcare,Health,Technical Diploma,15161,,14,Full-time
"Warehouse Ops, Inventory Management, Supply Chain, Fleet Management",15,126711,Blida,Logistics,Supply Chain,Bachelor's,15162,12.0,15,Full-time
"SQL, R, TensorFlow, Python",6,77859,Batna,Data Science,Information Technology,Technical Diploma,15163,,14,Full-time
"Event Planning, Customer Service, Reservation Systems, Food Safety, Front Desk",4,93306,Bordj Bou Arreridj,Hospitality,Tourism & Hospitality,Doctorate,15164,20.0,20,Full-time
"Litigation, Case Management, Contracts, Negotiation, Regulatory Compliance, Legal Research",1,71005,Annaba,Legal,Legal,Master's,15165,17.0,17,Full-time
"Google Ads, Social Media, Analytics, Copywriting, Branding, Content Creation",6,80068,Bordj Bou Arreridj,Marketing,Business,No Formal Education,15166,0.0,0,Full-time
"TensorFlow, Python, Pandas, R, Data Visualization, SQL",2,92203,Mostaganem,Data Science,Information Technology,Bachelor's,15167,12.0,15,Full-time
"Pandas, SQL, Data Visualization, Machine Learning",2,62992,Bejaia,Data Science,Information Technology,Technical Diploma,15168,,14,Full-time
"SQL, Python, Statistics, Data Visualization",10,52319,Sidi Bel Abbès,Data Science,Information Technology,Doctorate,15169,20.0,20,Full-time
"Financial Analysis, Auditing, Risk Management, Budgeting, Investment, Accounting",7,136112,Blida,Finance,Business,Master's,15170,17.0,17,Full-time
"Site Management, Plumbing, Safety Procedures, Masonry, Blueprint Reading, Carpentry",8,139720,Ghardaia,Construction,Construction,Technical Diploma,15171,,14,Full-time
"Plumbing, Blueprint Reading, Site Management, Safety Procedures",1,177243,Bejaia,Construction,Construction,Doctorate,15172,20.0,20,Full-time
"CPR, Patient Care, Phlebotomy",4,82226,Sidi Bel Abbès,Healthcare,Health,Master's,15173,17.0,17,Full-time
"SIEM, Ethical Hacking, Penetration Testing, Forensics, Network Security",1,157857,Sidi Bel Abbès,Cybersecurity,Information Technology,Ingénieur,15174,17.0,17,Full-time
"Anatomy, Patient Care, Phlebotomy",6,94104,Constantine,Healthcare,Health,Master's,15175,17.0,17,Full-time
"Tractor Operation, Agro-tech, Pest Control",1,86356,Mostaganem,Agriculture,Agriculture,Master's,15176,17.0,17,Full-time
"CPR, Medical Terminology, Anatomy",1,67183,Ouargla,Healthcare,Health,Ingénieur,15177,17.0,17,Full-time
"Forensics, Ethical Hacking, Penetration Testing, Firewalls, Network Security",8,93708,Tlemcen,Cybersecurity,Information Technology,Technical Diploma,15178,,14,Full-time
"SQL, R, Pandas",13,162038,Skikda,Data Science,Information Technology,Master's,15179,17.0,17,Full-time
"Scripting, Linux, Windows Server, Virtualization, Security, Networking",1,152099,Bordj Bou Arreridj,System Administration,Information Technology,Ingénieur,15180,17.0,17,Full-time
"Customer Service, Cold Calling, CRM, Lead Generation, Negotiation",9,134689,Blida,Sales,Business,Bachelor's,15181,12.0,15,Full-time
"REST, Django, JavaScript, Git, Java, Spring",6,141199,Batna,Software Engineering,Information Technology,Doctorate,15182,20.0,20,Full-time
"Mentoring, Curriculum Design, Teaching, E-Learning, Assessment",3,62401,Skikda,Education,Education,Master's,15183,17.0,17,Full-time
"Front Desk, Customer Service, Event Planning",7,75846,Chlef,Hospitality,Tourism & Hospitality,Master's,15184,17.0,17,Full-time
"Responsive Design, CSS, React, WordPress, JavaScript",1,88712,Tlemcen,Web Development,Information Technology,High School,15185,9.0,12,Full-time
"Agro-tech, Crop Management, Soil Testing",2,94616,Ouargla,Agriculture,Agriculture,Doctorate,15186,20.0,20,Full-time
"Creativity, UI/UX, Illustrator",1,47833,Algiers,Art & Design,Creative,High School,15187,9.0,12,Full-time
"Accounting, Budgeting, Risk Management, Financial Analysis, Auditing, Investment",2,144408,Bejaia,Finance,Business,Doctorate,15188,20.0,20,Full-time
"SQL, Data Visualization, TensorFlow",2,85430,Setif,Data Science,Information Technology,High School,15189,9.0,12,Full-time
"Design, AutoCAD, Blueprint Reading, SolidWorks",1,60273,Sidi Bel Abbès,Engineering,Engineering,Technical Diploma,15190,,14,Full-time
"Pest Control, Tractor Operation, Irrigation, Soil Testing",4,83626,Annaba,Agriculture,Agriculture,Ingénieur,15191,17.0,17,Full-time
"Risk Management, Budgeting, Financial Analysis, Auditing, Excel",7,57555,Relizane,Finance,Business,High School,15192,9.0,12,Full-time
"SEO, Branding, Content Creation, Social Media",2,56830,Constantine,Marketing,Business,Bachelor's,15193,12.0,15,Full-time
"Content Creation, Copywriting, Social Media, Branding",2,77911,Setif,Marketing,Business,No Formal Education,15194,0.0,0,Full-time
"Data Visualization, SQL, Python, Statistics, R",5,64226,Setif,Data Science,Information Technology,Ingénieur,15195,17.0,17,Full-time
"Network Security, Firewalls, Ethical Hacking, SIEM",2,48370,Annaba,Cybersecurity,Information Technology,High School,15196,9.0,12,Full-time
"Front Desk, Customer Service, Event Planning, Reservation Systems, Food Safety",1,70058,Bejaia,Hospitality,Tourism & Hospitality,No Formal Education,15197,0.0,0,Full-time
"Classroom Management, Assessment, Mentoring, Teaching, E-Learning, Curriculum Design",2,145910,Tlemcen,Education,Education,No Formal Education,15198,0.0,0,Full-time
"Project Management, SolidWorks, Blueprint Reading, AutoCAD, MATLAB, Design",9,97281,Bordj Bou Arreridj,Engineering,Engineering,High School,15199,9.0,12,Full-time
"Design, AutoCAD, MATLAB, SolidWorks, Blueprint Reading, Project Management",8,72696,Annaba,Engineering,Engineering,Technical Diploma,15200,,14,Full-time
"MATLAB, AutoCAD, Project Management, Design, Blueprint Reading, SolidWorks",12,144380,Setif,Engineering,Engineering,No Formal Education,15201,0.0,0,Full-time
"Phlebotomy, EMR, Anatomy",3,87605,Relizane,Healthcare,Health,Bachelor's,15202,12.0,15,Full-time
"Penetration Testing, Ethical Hacking, Forensics, Network Security",1,104010,Chlef,Cybersecurity,Information Technology,Doctorate,15203,20.0,20,Full-time
"UI/UX, 3D Modeling, Creativity, Photoshop, Illustrator",2,128874,M'Sila,Art & Design,Creative,High School,15204,9.0,12,Full-time
"Graphic Design, UI/UX, Creativity, Illustrator",3,140457,Bejaia,Art & Design,Creative,Master's,15205,17.0,17,Full-time
"JavaScript, WordPress, CSS, React",4,82874,M'Sila,Web Development,Information Technology,High School,15206,9.0,12,Full-time
"Illustrator, UI/UX, Creativity",11,78571,Blida,Art & Design,Creative,Doctorate,15207,20.0,20,Full-time
"Classroom Management, Assessment, Mentoring, Teaching, Curriculum Design",3,150739,Mostaganem,Education,Education,No Formal Education,15208,0.0,0,Full-time
"Google Ads, SEO, Social Media, Copywriting",10,86487,Constantine,Marketing,Business,Doctorate,15209,20.0,20,Full-time
"Networking, Security, Linux, Scripting, Virtualization",1,150990,Mostaganem,System Administration,Information Technology,High School,15210,9.0,12,Full-time
"Irrigation, Soil Testing, Crop Management, Agro-tech, Tractor Operation",1,129683,Relizane,Agriculture,Agriculture,High School,15211,9.0,12,Full-time
"Ethical Hacking, SIEM, Firewalls, Penetration Testing, Forensics",1,75619,Relizane,Cybersecurity,Information Technology,Bachelor's,15212,12.0,15,Full-time
"Site Management, Blueprint Reading, Masonry, Plumbing",9,150611,Algiers,Construction,Construction,Bachelor's,15213,12.0,15,Full-time
"TensorFlow, Data Visualization, Statistics, Python",12,141100,Tipaza,Data Science,Information Technology,Master's,15214,17.0,17,Full-time
"Crop Management, Irrigation, Soil Testing",9,83661,Setif,Agriculture,Agriculture,Ingénieur,15215,17.0,17,Full-time
"SEO, Google Ads, Branding, Copywriting, Social Media, Analytics",12,82026,Tizi Ouzou,Marketing,Business,No Formal Education,15216,0.0,0,Full-time
"Irrigation, Soil Testing, Tractor Operation",1,157160,Constantine,Agriculture,Agriculture,Doctorate,15217,20.0,20,Full-time
"Analytics, Content Creation, SEO, Copywriting, Google Ads, Branding",5,69621,Setif,Marketing,Business,High School,15218,9.0,12,Full-time
"Soil Testing, Agro-tech, Crop Management, Irrigation, Tractor Operation, Pest Control",1,161973,Ouargla,Agriculture,Agriculture,Ingénieur,15219,17.0,17,Full-time
"Crop Management, Agro-tech, Pest Control",4,45011,Constantine,Agriculture,Agriculture,Bachelor's,15220,12.0,15,Full-time
"CSS, React, WordPress, Responsive Design, JavaScript, HTML",3,133236,Oran,Web Development,Information Technology,Technical Diploma,15221,,14,Full-time
"SEO, Google Ads, Social Media",1,184627,Algiers,Marketing,Business,Doctorate,15222,20.0,20,Full-time
"SolidWorks, AutoCAD, Blueprint Reading",1,65415,Tlemcen,Engineering,Engineering,Technical Diploma,15223,,14,Full-time
"Lead Generation, Sales Forecasting, Cold Calling, Negotiation, Customer Service, CRM",5,39134,Algiers,Sales,Business,Master's,15224,17.0,17,Full-time
"Creativity, Illustrator, UI/UX, Photoshop",1,170883,Tizi Ouzou,Art & Design,Creative,Bachelor's,15225,12.0,15,Full-time
"CRM, Cold Calling, Lead Generation, Sales Forecasting, Customer Service, Negotiation",12,114102,Oran,Sales,Business,Doctorate,15226,20.0,20,Full-time
"Soil Testing, Tractor Operation, Pest Control, Crop Management, Irrigation, Agro-tech",3,115257,Blida,Agriculture,Agriculture,Doctorate,15227,20.0,20,Full-time
"UI/UX, 3D Modeling, Photoshop",2,137859,Chlef,Art & Design,Creative,Ingénieur,15228,17.0,17,Full-time
"Copywriting, Analytics, Branding",1,189247,Biskra,Marketing,Business,Master's,15229,17.0,17,Full-time
"Investment, Accounting, Financial Analysis",8,94097,Annaba,Finance,Business,No Formal Education,15230,0.0,0,Full-time
"Blueprint Reading, SolidWorks, Project Management, MATLAB, Design",5,91759,Bejaia,Engineering,Engineering,Doctorate,15231,20.0,20,Full-time
"SIEM, Firewalls, Penetration Testing",2,98762,Ghardaia,Cybersecurity,Information Technology,High School,15232,9.0,12,Full-time
"Financial Analysis, Budgeting, Excel",12,133338,Ghardaia,Finance,Business,Ingénieur,15233,17.0,17,Full-time
"Teaching, Curriculum Design, Assessment, Mentoring, E-Learning",5,65321,Relizane,Education,Education,No Formal Education,15234,0.0,0,Full-time
"Cold Calling, Lead Generation, Customer Service, Negotiation, Sales Forecasting, CRM",1,167982,Mostaganem,Sales,Business,Bachelor's,15235,12.0,15,Full-time
"SolidWorks, MATLAB, AutoCAD, Design, Project Management, Blueprint Reading",2,58740,Biskra,Engineering,Engineering,Doctorate,15236,20.0,20,Full-time
"Auditing, Accounting, Excel, Risk Management, Financial Analysis",1,48889,Tizi Ouzou,Finance,Business,No Formal Education,15237,0.0,0,Full-time
"SIEM, Penetration Testing, Ethical Hacking",1,75739,M'Sila,Cybersecurity,Information Technology,Bachelor's,15238,12.0,15,Full-time
"Networking, Scripting, Virtualization",11,102138,Tipaza,System Administration,Information Technology,Master's,15239,17.0,17,Full-time
"Supply Chain, Inventory Management, Fleet Management, Routing",14,129137,Mostaganem,Logistics,Supply Chain,Doctorate,15240,20.0,20,Full-time
"Machine Learning, SQL, Statistics, Data Visualization, R",1,105024,Setif,Data Science,Information Technology,Bachelor's,15241,12.0,15,Full-time
"Case Management, Contracts, Litigation, Legal Research, Regulatory Compliance",3,159039,Tlemcen,Legal,Legal,Doctorate,15242,20.0,20,Full-time
"CPR, EMR, Patient Care, Phlebotomy, Anatomy",7,56425,Setif,Healthcare,Health,Ingénieur,15243,17.0,17,Full-time
"Java, C++, JavaScript, Python, REST, Django",2,99785,Blida,Software Engineering,Information Technology,High School,15244,9.0,12,Full-time
"JavaScript, REST, Python, C++",1,97738,Mostaganem,Software Engineering,Information Technology,Master's,15245,17.0,17,Full-time
"Masonry, Site Management, Safety Procedures",1,130726,Batna,Construction,Construction,Technical Diploma,15246,,14,Full-time
"Graphic Design, UI/UX, Illustrator, 3D Modeling",4,73112,Bejaia,Art & Design,Creative,Bachelor's,15247,12.0,15,Full-time
"UI/UX, Creativity, Graphic Design, 3D Modeling, Photoshop, Illustrator",13,102368,Constantine,Art & Design,Creative,Technical Diploma,15248,,14,Full-time
"Event Planning, Customer Service, Food Safety",2,59358,Tizi Ouzou,Hospitality,Tourism & Hospitality,Doctorate,15249,20.0,20,Full-time
"Soil Testing, Irrigation, Tractor Operation, Pest Control",4,181377,Relizane,Agriculture,Agriculture,Bachelor's,15250,12.0,15,Full-time
"Contracts, Legal Research, Regulatory Compliance, Litigation, Case Management, Negotiation",3,120100,Bejaia,Legal,Legal,Master's,15251,17.0,17,Full-time
"Cold Calling, Negotiation, CRM, Customer Service, Lead Generation",12,146312,Bordj Bou Arreridj,Sales,Business,Doctorate,15252,20.0,20,Full-time
"Google Ads, Copywriting, Social Media, SEO, Analytics",13,71899,Biskra,Marketing,Business,Doctorate,15253,20.0,20,Full-time
"Node.js, CSS, Responsive Design, HTML, WordPress, React",1,97991,Batna,Web Development,Information Technology,Bachelor's,15254,12.0,15,Full-time
"CPR, Patient Care, Anatomy, EMR",13,84772,M'Sila,Healthcare,Health,No Formal Education,15255,0.0,0,Full-time
"Negotiation, Customer Service, Cold Calling, CRM, Sales Forecasting, Lead Generation",3,75594,Setif,Sales,Business,High School,15256,9.0,12,Full-time
"Fleet Management, Warehouse Ops, Supply Chain",2,135952,Relizane,Logistics,Supply Chain,Doctorate,15257,20.0,20,Full-time
"Lead Generation, Negotiation, CRM",1,114770,Bordj Bou Arreridj,Sales,Business,Bachelor's,15258,12.0,15,Full-time
"Firewalls, SIEM, Ethical Hacking, Penetration Testing, Network Security",2,96105,Bejaia,Cybersecurity,Information Technology,High School,15259,9.0,12,Full-time
"Node.js, WordPress, HTML, React, JavaScript, CSS",2,40189,Biskra,Web Development,Information Technology,Master's,15260,17.0,17,Full-time
"Front Desk, Reservation Systems, Food Safety",4,110539,Biskra,Hospitality,Tourism & Hospitality,Doctorate,15261,20.0,20,Full-time
"Phlebotomy, CPR, Anatomy",2,135336,Sidi Bel Abbès,Healthcare,Health,High School,15262,9.0,12,Full-time
"CSS, Responsive Design, HTML, WordPress",7,87722,Tizi Ouzou,Web Development,Information Technology,No Formal Education,15263,0.0,0,Full-time
"Customer Service, CRM, Negotiation, Lead Generation, Cold Calling, Sales Forecasting",5,90154,Ouargla,Sales,Business,No Formal Education,15264,0.0,0,Full-time
"Branding, Analytics, Google Ads",7,68619,Biskra,Marketing,Business,Ingénieur,15265,17.0,17,Full-time
"Python, Statistics, Machine Learning",2,73676,Biskra,Data Science,Information Technology,High School,15266,9.0,12,Full-time
"Legal Research, Contracts, Litigation, Negotiation, Regulatory Compliance, Case Management",11,65156,Bejaia,Legal,Legal,Bachelor's,15267,12.0,15,Full-time
"Network Security, Ethical Hacking, SIEM, Forensics, Firewalls, Penetration Testing",4,77244,Batna,Cybersecurity,Information Technology,Doctorate,15268,20.0,20,Full-time
"Cold Calling, CRM, Sales Forecasting, Lead Generation, Customer Service",2,138681,Ghardaia,Sales,Business,Ingénieur,15269,17.0,17,Full-time
"JavaScript, Java, Python, Django",6,94347,Ghardaia,Software Engineering,Information Technology,Bachelor's,15270,12.0,15,Full-time
"Google Ads, Content Creation, Branding, SEO",8,100995,Tlemcen,Marketing,Business,No Formal Education,15271,0.0,0,Full-time
"React, Node.js, Responsive Design, JavaScript",13,39613,M'Sila,Web Development,Information Technology,Ingénieur,15272,17.0,17,Full-time
"Anatomy, EMR, Medical Terminology, CPR, Phlebotomy, Patient Care",3,142744,Mostaganem,Healthcare,Health,No Formal Education,15273,0.0,0,Full-time
"Safety Procedures, Carpentry, Plumbing",1,137373,Oran,Construction,Construction,High School,15274,9.0,12,Full-time
"EMR, Phlebotomy, Anatomy, Patient Care",1,135273,Annaba,Healthcare,Health,Bachelor's,15275,12.0,15,Full-time
"React, JavaScript, Node.js, HTML",3,67918,Batna,Web Development,Information Technology,Master's,15276,17.0,17,Full-time
"Excel, Accounting, Risk Management, Investment, Financial Analysis",2,77753,Batna,Finance,Business,Master's,15277,17.0,17,Full-time
"Photoshop, Creativity, Graphic Design, Illustrator",3,135191,Tlemcen,Art & Design,Creative,No Formal Education,15278,0.0,0,Full-time
"Network Security, Ethical Hacking, Forensics, Firewalls, Penetration Testing, SIEM",5,167046,Chlef,Cybersecurity,Information Technology,No Formal Education,15279,0.0,0,Full-time
"REST, Python, JavaScript",1,101864,Sidi Bel Abbès,Software Engineering,Information Technology,Technical Diploma,15280,,14,Full-time
"Warehouse Ops, Routing, Supply Chain, Fleet Management, Inventory Management",11,91920,Tlemcen,Logistics,Supply Chain,Ingénieur,15281,17.0,17,Full-time
"Sales Forecasting, Lead Generation, Customer Service",3,109580,Tlemcen,Sales,Business,Doctorate,15282,20.0,20,Full-time
"Firewalls, Ethical Hacking, Network Security, Forensics, Penetration Testing",10,52518,Batna,Cybersecurity,Information Technology,High School,15283,9.0,12,Full-time
"Statistics, R, Data Visualization",4,124146,Mostaganem,Data Science,Information Technology,Bachelor's,15284,12.0,15,Full-time
"Warehouse Ops, Inventory Management, Supply Chain, Fleet Management",4,59469,Oran,Logistics,Supply Chain,Ingénieur,15285,17.0,17,Full-time
"Risk Management, Budgeting, Financial Analysis, Accounting",8,57256,Setif,Finance,Business,Ingénieur,15286,17.0,17,Full-time
"Ethical Hacking, Firewalls, Network Security, SIEM, Penetration Testing, Forensics",3,32965,Ouargla,Cybersecurity,Information Technology,No Formal Education,15287,0.0,0,Full-time
"Assessment, Curriculum Design, Mentoring, Teaching",7,106551,Bejaia,Education,Education,No Formal Education,15288,0.0,0,Full-time
"Windows Server, Linux, Security",6,94747,Batna,System Administration,Information Technology,High School,15289,9.0,12,Full-time
"Medical Terminology, Anatomy, EMR, Phlebotomy, Patient Care",2,102706,Bejaia,Healthcare,Health,No Formal Education,15290,0.0,0,Full-time
"Irrigation, Agro-tech, Crop Management, Tractor Operation",2,126185,Chlef,Agriculture,Agriculture,Bachelor's,15291,12.0,15,Full-time
"Carpentry, Masonry, Site Management, Safety Procedures",1,77505,M'Sila,Construction,Construction,High School,15292,9.0,12,Full-time
"Statistics, R, Data Visualization",4,117648,Ghardaia,Data Science,Information Technology,High School,15293,9.0,12,Full-time
"Supply Chain, Routing, Inventory Management, Warehouse Ops, Fleet Management",4,90231,Relizane,Logistics,Supply Chain,Master's,15294,17.0,17,Full-time
"Fleet Management, Warehouse Ops, Supply Chain",1,104672,Tlemcen,Logistics,Supply Chain,High School,15295,9.0,12,Full-time
"E-Learning, Teaching, Mentoring, Assessment, Classroom Management",1,128009,Relizane,Education,Education,Ingénieur,15296,17.0,17,Full-time
"Inventory Management, Fleet Management, Supply Chain",6,49721,Blida,Logistics,Supply Chain,Doctorate,15297,20.0,20,Full-time
"Teaching, Curriculum Design, Assessment",4,152613,Chlef,Education,Education,No Formal Education,15298,0.0,0,Full-time
"R, Statistics, TensorFlow",5,65396,Skikda,Data Science,Information Technology,Doctorate,15299,20.0,20,Full-time
"Content Creation, Social Media, Branding",4,78811,Oran,Marketing,Business,Doctorate,15300,20.0,20,Full-time
"Investment, Budgeting, Auditing, Financial Analysis",2,104467,Tizi Ouzou,Finance,Business,Master's,15301,17.0,17,Full-time
"Masonry, Carpentry, Site Management, Safety Procedures, Blueprint Reading, Plumbing",2,59131,Tipaza,Construction,Construction,High School,15302,9.0,12,Full-time
"Irrigation, Pest Control, Agro-tech, Soil Testing, Tractor Operation",10,100377,Batna,Agriculture,Agriculture,No Formal Education,15303,0.0,0,Full-time
"Phlebotomy, CPR, Anatomy",9,61314,Sidi Bel Abbès,Healthcare,Health,No Formal Education,15304,0.0,0,Full-time
"Customer Service, Food Safety, Front Desk",1,123043,Tizi Ouzou,Hospitality,Tourism & Hospitality,Doctorate,15305,20.0,20,Full-time
"Food Safety, Customer Service, Event Planning, Reservation Systems",2,51110,M'Sila,Hospitality,Tourism & Hospitality,No Formal Education,15306,0.0,0,Full-time
"Project Management, AutoCAD, SolidWorks, MATLAB",6,50335,Constantine,Engineering,Engineering,Technical Diploma,15307,,14,Full-time
"Penetration Testing, SIEM, Network Security, Ethical Hacking, Firewalls",2,153262,Algiers,Cybersecurity,Information Technology,Technical Diploma,15308,,14,Full-time
"Windows Server, Linux, Security",13,136996,Bordj Bou Arreridj,System Administration,Information Technology,Bachelor's,15309,12.0,15,Full-time
"CPR, Anatomy, Patient Care",14,54409,Mostaganem,Healthcare,Health,Bachelor's,15310,12.0,15,Full-time
